Name,Type,Ratings,Total Reviews,Address,Phone,Latitude,Longitude
S. Glory Futsal,· Futsal court,3.7,65,"Bhaktapur, katunje",984-0252869,27.6717974,85.4011692
Imperial Rulz Futsal,· Futsal court,3.7,201,Madhyapur Thimi,01-6636833,27.6734498,85.3665215
Wembley Goals Futsal Arena,· Futsal court,4,164,Madhyapur Thimi,986-0675627,27.6760202,85.3614118
Bhaktapur Futsal,· Sports club,3.9,92,Suryabinayak,01-6610404,27.669269,85.410094
Promotional Futsal,· Futsal court,3.6,95,Madhyapur Thimi,01-6212821,27.6745464,85.3781695
Premium Futsal,· Futsal court,4,1,Madhyapur Thimi,984-1567824,27.6948667,85.4007988
Bode Futsal & Training Centre,· Futsal court,3.9,86,Madhyapur Thimi,981-3401628,27.6885734,85.3872211
Suryabinayak Municipality Futsal,No reviews · Futsal court,Open now,,Near Little Garden English Secondary School,,27.6451028,85.4427153
Balkot Boys Futsal,· Futsal court,4.2,19,,01-5211173,27.6704603,85.3710091
Northpoint futsal,· Futsal court,4.4,11,Madhyapur Thimi,,27.690127,85.3899181
Khwopa Futsal Pvt. Ltd,· Futsal court,3.8,111,Bhaktapur,01-5122051,27.6712092,85.4407658
Futsal Arena Boudha,· Futsal court,4,210,Kathmandu,980-1070700,27.7159433,85.3622749
Bode Futsal,· Futsal court,5,1,Madhyapur Thimi,,27.6885734,85.3872211
Royal Futsal,· Futsal court,3.4,420,Kathmandu,01-5244436,27.6929477,85.3300393
Countryside recration centre pvt.ltd,No reviews · Futsal court,,,Anantalingeshwar,986-0976204,27.6614174,85.3703067
Shankhamul Futsal,· Futsal court,4,530,Kathmandu,01-4782088,27.6826021,85.3323243
Buddhanagar Futsal,· Futsal court,3.5,133,Kathmandu,01-4792002,27.684365,85.3320198
BG Brothers Health Club Futsal,· Futsal court,3.6,299,Pepsi Planning,984-3505050,27.690558,85.368672
Maidan Futsal,· Futsal court,3.8,25,Kathmandu,01-4497642,27.7020369,85.3434615
Shantinagar Futsal,· Futsal court,3.8,784,Kathmandu,985-1188182,27.6919685,85.3478009
Champions Futsal,· Futsal court,3.8,122,Mahalaxmi,01-5203998,27.6550627,85.3369116
Shooters Futsal,· Sports club,3.9,120,Bhaktapur,01-6610744,27.6665039,85.4266915
Manohara futsal,No reviews · Futsal court,,,Kathmandu,,27.6888115,85.3695594
Jadibuti Futsal Court,No reviews · Futsal court,,,Kathmandu,981-2654949,27.6750609,85.3530277
Field Futsal,· Futsal court,3.9,339,Lalitpur,01-5528361,27.6859935,85.3022799
Legend futsal,· Futsal court,3.5,2,Mahalaxmi,984-4565741,27.6521171,85.3597442
Soapy Goal,No reviews · Futsal court,Open now,,Suryabinayak,981-8223744,27.662126,85.433692
Yala Futsal & Recreational Center,· Futsal court,4.1,97,Mahalaxmi,01-5200389,27.662959,85.3372364
Surya Futsal,· Futsal court,3.8,191,Kathmandu,01-4371660,27.7314603,85.345384
Five Five Soccer Center,· Futsal court,3,89,Kathmandu,01-4112251,27.69015,85.35136
Kick Futsal Lalitpur,· Futsal court,3.8,181,Lalitpur,980-8121351,27.6784588,85.3292166
Maitidevi futsal,· Futsal court,3.5,270,Kathmandu,980-3129270,27.703436,85.336852
Imadole Futsal,· Futsal court,3.8,239,Mahalaxmi,986-0131943,27.6629477,85.3486999
Khwopa Futsal and Training Center,· Futsal court,4.2,6,Bhaktapur,01-5177177,27.6455429,85.4425905
Futsal Court,· Futsal court,3.6,60,Kathmandu · In Children's Amusement Park,,27.701377,85.3203981
Baijanti Futsal Town Planning,· Futsal court,4.7,11,,,27.688207,85.3683708
Futsal,· Futsal court,4,1,,,27.6929477,85.3300393
Samakhushi Futsal,· Futsal court,4,280,Kathmandu,01-4363834,27.7345965,85.320485
Lumbini Futsal Academy,· Futsal court,3.8,17,Kathmandu,,27.7207712,85.3495223
Highway Futsal,· Futsal court,3.8,180,,980-8675143,27.711626,85.36761
Prismatic Futsal & Recreation Center,· Futsal court,3.3,211,Lalitpur,01-5906629,27.6809509,85.306601
The best futsal pvt. Ltd.,· Futsal court,3.9,114,Lalitpur,981-8195806,27.6612939,85.3194591
Kumari Futsal,· Futsal court,3.9,396,Kathmandu,01-4243709,27.7141511,85.3081596
Jorpati Futsal,· Futsal court,3.4,47,Gokarneshwor,980-8100362,27.7184719,85.3758475
United Futsal,· Futsal court,4.1,242,Kathmandu,01-4283187,27.7009294,85.2826746
Bridgewater Futsal and Training Centre,· Futsal court,3.3,7,Kathmandu,984-1262700,27.6960951,85.3504477
Bhotebahal Futsal,· Futsal court,3.5,171,Kathmandu,982-3325282,27.6962796,85.3106279
Manang Marshyangdi Futsal,· Futsal court,3.9,141,Kathmandu,01-6200126,27.7330432,85.315077
White Horse Futsal,· Futsal court,3.8,144,Budhanilkantha,01-4015067,27.7329848,85.3494194
Sherpa Futsal Center,· Futsal court,3.5,65,Kathmandu,,27.7236563,85.3582844
River Field futsal,· Futsal court,3.7,285,Kathmandu,01-4361095,27.7197475,85.3008827
Grande Futsal,· Futsal court,3.9,215,Kathmandu,01-5159290,27.7545338,85.3294969
Hattiban Futsal Headquarter,· Futsal court,3.8,173,Lalitpur,01-5251490,27.6511545,85.3316719
Prime Futsal Gyaneshwor,· Futsal court,4.1,44,Kathmandu,984-4073004,27.7105278,85.3347222
Badminton Hall G4 Futsal,· Futsal court,4,145,Kathmandu,980-3259660,27.7415217,85.3129973
Players Futsal,· Futsal court,3.3,45,Chandragiri,,27.6951462,85.2693092
Manakamana Futsal,· Futsal court,4.2,49,Gokarneshwor,980-8403232,27.7327285,85.388845
Goalpost Futsal,· Futsal court,3.5,85,Karyabinayak,01-5590590,27.6497166,85.3055025
Kathmandu Futsal,· Sports club,3.7,113,Lalitpur,980-2115981,27.6704283,85.3039068
Mahalaxmisthan Futsal,· Futsal court,4,25,Lalitpur,01-2298542,27.6614125,85.319143
Kirtipur Futsal,· Futsal court,3.9,153,Kirtipur,981-8149835,27.6715435,85.2724376
Premier Futsal,· Futsal court,3.9,95,Tokha,01-4365122,27.7469857,85.3203188
Baijanti Futsal,· Sports club,3.9,23,Kathmandu,980-1057185,27.688207,85.3683708
Vajra Futsal,· Futsal court,4,68,Kathmandu,,27.7128127,85.3003105
National Sports Centre pvt.ltd,· Futsal court,3.9,52,Lalitpur,01-5534470,27.6770538,85.3338971
Green Wish Fitness Club & Futsal Center,· Futsal court,4.1,36,Budhanilkantha,01-4822420,27.7382148,85.3583883
Tahachal Futsal Arena,· Futsal court,3.9,225,Kathmandu,01-4281057,27.7004122,85.2964622
Hardik Futsal Club 2,· Sports club,3.4,373,Kathmandu,986-2580880,27.678342,85.335769
Dhanyentari Futstal,· Futsal court,4,13,Kathmandu,,27.7199191,85.3408635
Banepa Futsal Center,· Futsal court,4.4,8,Ugratara Janagal,011-663382,27.6315815,85.512499
Mulpani Futsal Training and Recreational Center,· Soccer field,4.2,54,Kathmandu,981-3165088,27.7099438,85.3957251
Hamro Futsal Arena,· Futsal court,3.7,24,Kathmandu,986-1582968,27.767567,85.3569785
Shrestha Swimming Pool and Futsal,· Futsal court,3.9,198,Budhanilkantha,01-4164365,27.745214,85.3550187
Sinamangal Mini Futsal,· Futsal court,3.2,21,Kathmandu,986-1030224,27.6961033,85.3506086
Krinagar Futsal,· Futsal court,3.8,104,Kirtipur,985-1120195,27.6795422,85.2814021
Futsal Village,· Sports complex,3.9,118,,980-8390866,27.6443257,85.3187715
Maa Baglamukhi Futsal,· Futsal court,4,80,Lalitpur,01-5260611,27.679753,85.3268657
Dhanwantari Futsal,· Sports complex,4.1,747,Kathmandu,01-4009635,27.7199191,85.3408635
Phoenix Futsal & Swimming Pool,· Futsal court,3.8,69,,980-3954921,27.7450184,85.3038235
Uniglobe Futsal,· Futsal court,2.3,9,Kathmandu,,27.7070572,85.3187738
Khwopa Futsal and Training Center,· Sports club,4.2,142,Suryabinayak,01-5177177,27.6455429,85.4425905
Harisiddhi Futsal,· Sports complex,3.9,167,Lalitpur,01-5251068,27.6392815,85.3386615
Brihspati futsalAnd Fitness Center,No reviews · Futsal court,Open now,,,,27.7306546,85.4312811
Samakhusi Futsal,· Futsal court,3.9,13,Kathmandu,980-6535729,27.7322598,85.3148896
Elite sports trainning centre,· Futsal court,4.3,6,Lalitpur,981-3201976,27.6470444,85.3097248
yellow house futsal,No reviews · Futsal court,,,lalitpur,981-3133758,27.616051,85.3191159
One Tree Hill Futsal,· Futsal court,4.7,12,Lalitpur,986-5316161,27.6419473,85.3006062
Velocity Arena- Nepal cricket school,· Futsal court,4,497,Kathmandu,01-4481337,27.7069145,85.3386582
Sagar Thapa Sky Goals Academy,· Futsal court,3.7,3,Kathmandu,01-4016303,27.7394456,85.3407444
Chaitya Fustal,· Futsal court,3.3,119,Kathmandu,984-9719060,27.6969861,85.2912818
Wakhat Sunakothi Futsal,· Futsal court,4,4,,,27.6251418,85.3224129
Kastha Supplier,No reviews · Futsal court,,,Kathmandu,985-1043885,27.731165,85.342664
Easy Futsal Pvt LTD,· Gym,3.4,49,Kathmandu,01-4990648,27.6913087,85.3619956
"Hamro Futsal, Syuchatar",· Futsal court,3.9,123,,985-1034401,27.6964585,85.2784073
Rave Futsal Center,· Sports club,3.9,143,Kathmandu,01-4374343,27.735436,85.349528
